,harga_emas,kurs_jual,kurs_beli,data_inflasi,suku_bunga_bi
count,3475.0,3475.0,3475.0,3475.0,3475.0
mean,674049.7266187051,12575.750677697843,12450.582063309354,0.04320690647482013,5.652338129496403
std,179028.75902300817,2229.803234067469,2207.62416425957,0.018534190253859138,1.317311485673465
min,394000.0,8502.0,8418.0,0.0132,3.5
25%,560000.0,9789.5,9691.5,0.0316,4.5
50%,607000.0,13405.0,13271.0,0.0397,5.75
75%,777000.0,14330.8,14188.35,0.0554,6.75
max,1096000.0,16824.71,16657.3,0.0878999999999999,7.75
