,harga_emas
2024-02-06,1106775.6349
2024-02-07,1108536.7006
2024-02-08,1110153.9244
2024-02-09,1105312.602
2024-02-12,1106666.7365
2024-02-13,1108268.2816
2024-02-14,1111879.8743
2024-02-15,1108954.7625
2024-02-16,1111545.3779
2024-02-19,1111621.9358
2024-02-20,1107299.4408
2024-02-21,1108885.7668
2024-02-22,1111225.8466
2024-02-23,1112359.72
2024-02-26,1108774.0626
2024-02-27,1110185.7633
2024-02-28,1112828.2459
2024-02-29,1111756.9132
2024-03-01,1108632.7073
2024-03-04,1107308.2052
2024-03-05,1111354.6443
2024-03-06,1111086.0411
2024-03-07,1113831.1728
2024-03-08,1113402.2485
2024-03-11,1111149.6998
2024-03-12,1110364.4843
2024-03-13,1113413.8878
2024-03-14,1114708.7607
2024-03-15,1109630.6842
2024-03-18,1111789.6981
2024-03-19,1113627.8064
2024-03-20,1115013.968
2024-03-21,1110072.4819
2024-03-22,1110219.6179
2024-03-25,1112720.6386
2024-03-26,1112836.9568
2024-03-27,1113643.5522
2024-03-28,1115865.0036
2024-03-29,1118393.1119
2024-04-01,1111005.6251
2024-04-02,1113534.928
2024-04-03,1116252.7203
2024-04-04,1117056.53
2024-04-05,1109616.2701
2024-04-08,1110845.8186
2024-04-09,1111979.3795
2024-04-10,1111932.5346
2024-04-11,1113064.954
2024-04-12,1112606.3194
2024-04-15,1117140.6899
2024-04-16,1115290.8043
2024-04-17,1115148.4662
2024-04-18,1118026.0773
2024-04-19,1119983.4428
2024-04-22,1115726.5901
2024-04-23,1116971.3298
2024-04-24,1119230.9452
2024-04-25,1118445.3
2024-04-26,1115161.3051
2024-04-29,1112949.9201
2024-04-30,1117853.8671
2024-05-01,1115720.6076
2024-05-02,1121052.3331
2024-05-03,1118857.5338
2024-05-06,1118987.4148
2024-05-07,1117116.2852
2024-05-08,1118878.1496
2024-05-09,1120718.1631
2024-05-10,1116382.4851
2024-05-13,1116351.0772
2024-05-14,1117646.2792
2024-05-15,1117965.0424
2024-05-16,1120604.9937
2024-05-17,1120697.8329
2024-05-20,1117196.5098
2024-05-21,1116872.4452
2024-05-22,1118066.3766
2024-05-23,1119250.8983
2024-05-24,1121589.7332
2024-05-27,1123168.3635
2024-05-28,1120303.6742
2024-05-29,1122086.7869
2024-05-30,1122903.2137
2024-05-31,1120200.8366
2024-06-03,1119146.1977
2024-06-04,1121954.0319
2024-06-05,1123615.9371
2024-06-06,1124676.7862
2024-06-07,1120282.6438
2024-06-10,1123343.4595
2024-06-11,1122975.8317
2024-06-12,1119835.3062
2024-06-13,1119485.1907
2024-06-14,1123611.3531
2024-06-17,1123886.1254
2024-06-18,1122656.3261
2024-06-19,1123083.6212
2024-06-20,1126767.015
2024-06-21,1125680.9732
2024-06-24,1123679.5805
2024-06-25,1121723.2149
2024-06-26,1123873.5804
2024-06-27,1125299.4622
2024-06-28,1126928.8191
2024-07-01,1121959.6845
2024-07-02,1119707.7112
2024-07-03,1116977.4584
2024-07-04,1111423.1047
2024-07-05,1110453.4657
2024-07-08,1107659.6672
2024-07-09,1109467.002
2024-07-10,1108971.2574
2024-07-11,1108037.3415
2024-07-12,1115340.2588
2024-07-15,1119899.1311
2024-07-16,1122470.7461
2024-07-17,1123754.2556
2024-07-18,1129186.4883
2024-07-19,1130379.4482
2024-07-22,1127907.1488
2024-07-23,1128638.1939
2024-07-24,1123540.4862
2024-07-25,1124821.1475
2024-07-26,1126158.7079
2024-07-29,1128475.1939
2024-07-30,1128820.7001
2024-07-31,1127045.9802
2024-08-01,1130445.8449
2024-08-02,1131130.1088
2024-08-05,1126865.7136
2024-08-06,1125255.828
2024-08-07,1128239.5212
2024-08-08,1129129.7182
2024-08-09,1131886.154
2024-08-12,1131641.8717
2024-08-13,1127574.0567
2024-08-14,1126538.9768
2024-08-15,1128532.5191
2024-08-16,1129981.2038
2024-08-19,1135029.522
2024-08-20,1124481.4221
2024-08-21,1125714.8189
2024-08-22,1120488.6772
2024-08-23,1119710.7606
2024-08-26,1119380.1573
2024-08-27,1118856.6605
2024-08-28,1117701.7359
2024-08-29,1112821.9838
2024-08-30,1113953.2354
2024-09-02,1114467.7728
2024-09-03,1119058.3108
2024-09-04,1123287.1755
2024-09-05,1125471.9784
2024-09-06,1124119.1301
2024-09-09,1125659.807
2024-09-10,1129194.1721
2024-09-11,1131637.6894
2024-09-12,1137619.1877
2024-09-13,1134817.9991
2024-09-16,1131776.9341
2024-09-17,1131981.2761
2024-09-18,1132430.4746
2024-09-19,1134506.7375
