tanggal,harga_emas,kurs_jual,kurs_beli,data_inflasi,suku_bunga_bi,new_cases,new_deaths
2021-04-08,922000,14585.57,14440.44,0.014199999999999999,3.5,5504.0,163.0
2021-04-09,931000,14652.9,14507.1,0.014199999999999999,3.5,5265.0,121.0
2021-04-10,927000,,,0.014199999999999999,3.5,4723.0,95.0
2021-04-11,927000,,,0.014199999999999999,3.5,4127.0,87.0
2021-04-12,926000,14652.9,14507.1,0.014199999999999999,3.5,4829.0,126.0
2021-04-13,924000,14704.16,14557.85,0.014199999999999999,3.5,5702.0,126.0
2021-04-14,930000,14721.24,14574.76,0.014199999999999999,3.5,5656.0,124.0
2021-04-15,925000,14706.17,14559.84,0.014199999999999999,3.5,6177.0,167.0
2021-04-16,935000,14719.23,14572.77,0.014199999999999999,3.5,5363.0,123.0
2021-04-17,937000,,,0.014199999999999999,3.5,5041.0,132.0
2021-04-18,937000,,,0.014199999999999999,3.5,4585.0,96.0
2021-04-19,939000,14664.96,14519.04,0.014199999999999999,3.5,4952.0,143.0
2021-04-20,933000,14640.84,14495.16,0.014199999999999999,3.5,5549.0,210.0
2021-04-21,932000,14580.54,14435.46,0.014199999999999999,3.5,5720.0,230.0
2021-04-22,940000,14621.75,14476.26,0.014199999999999999,3.5,6243.0,165.0
2021-04-23,935000,14602.65,14457.35,0.014199999999999999,3.5,5436.0,174.0
2021-04-24,933000,,,0.014199999999999999,3.5,4544.0,154.0
2021-04-25,933000,,,0.014199999999999999,3.5,4402.0,94.0
2021-04-26,933000,14620.74,14475.26,0.014199999999999999,3.5,5944.0,177.0
2021-04-27,930000,14561.45,14416.56,0.014199999999999999,3.5,4656.0,168.0
2021-04-28,926000,14569.49,14424.52,0.014199999999999999,3.5,5241.0,177.0
2021-04-29,931000,14582.55,14437.45,0.014199999999999999,3.5,5833.0,218.0
2021-04-30,922000,14540.34,14395.66,0.014199999999999999,3.5,5500.0,187.0
2021-05-01,921000,,,0.0168,3.5,4512.0,131.0
2021-05-02,921000,,,0.0168,3.5,4394.0,144.0
2021-05-03,921000,14525.27,14380.74,0.0168,3.5,4730.0,153.0
2021-05-04,930000,14539.34,14394.67,0.0168,3.5,4369.0,188.0
2021-05-05,922000,14503.16,14358.85,0.0168,3.5,5285.0,212.0
2021-05-06,926000,14511.2,14366.81,0.0168,3.5,5647.0,147.0
2021-05-07,934000,14435.82,14292.18,0.0168,3.5,6327.0,167.0
2021-05-08,937000,,,0.0168,3.5,6130.0,179.0
2021-05-10,937000,14360.45,14217.56,0.0168,3.5,4891.0,206.0
2021-05-11,933000,14268.99,14127.01,0.0168,3.5,5021.0,247.0
2021-05-17,937000,14274.02,14131.99,0.0168,3.5,4295.0,212.0
2021-05-18,947000,14355.42,14212.58,0.0168,3.5,4185.0,172.0
2021-05-19,948000,14371.5,14228.5,0.0168,3.5,4871.0,192.0
2021-05-20,947000,14384.57,14241.44,0.0168,3.5,5797.0,218.0
2021-05-21,957000,14467.98,14324.02,0.0168,3.5,5746.0,186.0
2021-05-22,958000,,,0.0168,3.5,5296.0,132.0
2021-05-23,958000,,,0.0168,3.5,5280.0,123.0
2021-05-24,959000,14446.88,14303.13,0.0168,3.5,5907.0,127.0
2021-05-25,955000,14433.81,14290.19,0.0168,3.5,5060.0,172.0
2021-05-27,962000,14406.68,14263.33,0.0168,3.5,6278.0,136.0
2021-05-28,962000,14383.56,14240.44,0.0168,3.5,5862.0,193.0
2021-05-29,965000,,,0.0168,3.5,6565.0,162.0
2021-05-30,965000,,,0.0168,3.5,6115.0,142.0
2021-05-31,965000,14381.55,14238.45,0.0168,3.5,5662.0,174.0
2021-06-02,961000,14363.46,14220.54,0.013300000000000001,3.5,5246.0,185.0
2021-06-03,964000,14347.38,14204.62,0.013300000000000001,3.5,5353.0,187.0
