           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"BI Rate";"Tidak Ada";2017;Mei;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2017;Juni;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2017;Juli;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2017;Agustus;4.5;"BI Rate"
"BI Rate";"Tidak Ada";2017;September;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2017;Oktober;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2017;November;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2017;Desember;4.25;"BI Rate"
"BI Rate";"Tidak Ada";2016;Januari;7.25;"BI Rate"
"BI Rate";"Tidak Ada";2016;Februari;7;"BI Rate"
"BI Rate";"Tidak Ada";2016;Maret;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2016;April;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2016;Mei;6.75;"BI Rate"
"BI Rate";"Tidak Ada";2016;Juni;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2016;Juli;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2016;Agustus;5.25;"BI Rate"
"BI Rate";"Tidak Ada";2016;September;5;"BI Rate"
"BI Rate";"Tidak Ada";2016;Oktober;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2016;November;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2016;Desember;4.75;"BI Rate"
"BI Rate";"Tidak Ada";2015;Januari;7.75;"BI Rate"
"BI Rate";"Tidak Ada";2015;Februari;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Maret;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;April;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Mei;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Juni;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Juli;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Agustus;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;September;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Oktober;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;November;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2015;Desember;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Januari;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Februari;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Maret;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;April;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Mei;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Juni;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Juli;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Agustus;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;September;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;Oktober;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2014;November;7.75;"BI Rate"
"BI Rate";"Tidak Ada";2014;Desember;7.75;"BI Rate"
"BI Rate";"Tidak Ada";2013;Januari;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2013;Februari;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2013;Maret;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2013;April;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2013;Mei;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2013;Juni;6;"BI Rate"
"BI Rate";"Tidak Ada";2013;Juli;6.5;"BI Rate"
"BI Rate";"Tidak Ada";2013;Agustus;7;"BI Rate"
"BI Rate";"Tidak Ada";2013;September;7.25;"BI Rate"
"BI Rate";"Tidak Ada";2013;Oktober;7.25;"BI Rate"
"BI Rate";"Tidak Ada";2013;November;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2013;Desember;7.5;"BI Rate"
"BI Rate";"Tidak Ada";2012;Januari;6;"BI Rate"
"BI Rate";"Tidak Ada";2012;Februari;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Maret;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;April;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Mei;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Juni;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Juli;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Agustus;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;September;5.75;"BI Rate"
"BI Rate";"Tidak Ada";2012;Oktober;5.75;"BI Rate"
