,input_size,tft_mae
313,314,145763.3746201679
312,313,145866.41070803397
299,300,145976.92574464486
314,315,146172.20261441474
316,317,146599.519167762
309,310,146735.93332832685
321,322,147357.50282361972
245,246,147419.83094861972
311,312,147654.48602184147
294,295,148034.34252027245
307,308,148108.38638795028
301,302,148602.38599569086
322,323,149309.07375719713
336,337,149614.0436185988
330,331,149674.7323607536
326,327,149738.53080479128
323,324,150353.43417822223
328,329,150741.00785761554
300,301,151035.2243848122
332,333,151121.72974569086
310,311,151180.8527843938
333,334,151337.40436650676
341,342,151442.51034192517
340,341,151575.4475804189
331,332,151668.31787330593
317,318,151691.6239010256
327,328,151971.74027131847
315,316,152183.5274052097
168,169,152759.36723261554
337,338,153211.09951556532
320,321,153282.93685866156
319,320,153609.2201353352
335,336,153740.92044914275
342,343,153977.92312958208
334,335,154067.80917822223
325,326,154456.7747901469
297,298,154739.2989141009
338,339,154798.84088585823
324,325,154825.909792762
295,296,155250.4057394147
296,297,155325.76903700884
339,340,155390.46117874526
352,353,156387.206667762
351,352,156452.6646306281
363,364,156456.3109433896
347,348,156573.91979537703
358,359,157639.08657100465
292,293,157772.92345646492
360,361,158128.54525301303
346,347,158332.04492613018
345,346,158405.1272352306
344,345,158414.54642979128
353,354,158659.71699725988
354,355,158886.16234244817
357,358,159250.34703125572
356,357,160483.44346169505
293,294,160583.13834924734
361,362,160696.1806478875
362,363,161287.61422529336
355,356,162616.38946064902
359,360,163666.8460506072
329,330,164824.45117613018
343,344,164970.43600876618
348,349,165308.4433309419
167,168,174637.75955740633
270,271,179300.11154485404
170,171,181397.99641671596
271,272,185687.44875719713
318,319,187146.60912592098
349,350,187175.69045437287
274,275,190729.16136179963
350,351,190990.4154151469
272,273,191581.19973784566
273,274,197253.25099307578
364,365,199222.7188931804
291,292,202239.57290730174
290,291,215100.74942403813
